recipe_id	date	edit_date	seo_keywords	seo_desc	rname	image	video	videostart	time_ready	yields	summary	ingredients	directions	leftovers	calories	calories_fat	total_fat	saturated_fat	trans_fat	cholesterol	sodium	carb	fiber	sugar	protein	published	ordering
317	12/31/1969 05:33	4/20/2012 03:07	"tomato gravy, chicken, poultry, curry powder"		Home-Style Chicken in Tomato Gravy			0	20 minutes	4	"This is one of our favorite recipes. The ingredients call for a specific type of flour, WONDRA&reg; Quick Mixing Flour. This flour is milled from a blend of wheats that works for best for breading fish and poultry. Regular all-purpose flour can get cakey or clumpy on your food. WONDRA&reg; also works great for thickening lump-free sauces and gravies. We like curry powder so I've used it to help season the dish. If you aren't a fan of curry powder you can just leave it out.&nbsp; Served with polenta and green beans it makes an eye appealing meal.&nbsp; "	%3Cul%3E%3Cli%3E1+pound+%281%2F2+kg%29+boneless+skinless+chicken+breasts%2C+divided+into+4+equal+portions%3C%2Fli%3E%3Cli%3E%26frac14%3B+cup+%2850+mL%29+Wondra%26reg%3B+Quick-mixing+flour%3C%2Fli%3E%3Cli%3E%26frac12%3B+tsp+%282+mL%29+pepper%3C%2Fli%3E%3Cli%3E1+tbsp+%2815+mL%29+canola+oil%3C%2Fli%3E%3Cli%3E1+large+onion%2C+finely+chopped%3C%2Fli%3E%3Cli%3E2+large+green+peppers%2C+chopped%3C%2Fli%3E%3Cli%3E1+clove+garlic%2C+minced%3C%2Fli%3E%3Cli%3E%26frac14%3B+tsp+%281+mL%29+white+pepper%3C%2Fli%3E%3Cli%3E1%26frac12%3B+tsp+%287+mL%29+curry+powder%3C%2Fli%3E%3Cli%3E16+oz+%28500+mL%29+tomato+puree%3C%2Fli%3E%3Cli%3E1+tsp+%285+mL%29+chopped+parsley%3C%2Fli%3E%3Cli%3E%26frac14%3B+tsp+%281+mL%29+ground+thyme%3C%2Fli%3E%3C%2Ful%3E	%3Col%3E%3Cli%3EMix+together+flour+and+pepper+in+large+plastic+bag.%26nbsp%3B%3C%2Fli%3E%3Cli%3EAdd+chicken%2C+one+piece+at+a+time%2C+shaking+to+coat.%26nbsp%3B%3C%2Fli%3E%3Cli%3EHeat+oil+in+large+saut%26eacute%3B+pan.%3C%2Fli%3E%3Cli%3EOver+medium+heat+saut%26eacute%3B+chicken+until+brown+on+both+sides+and+cooked+thoroughly.%3C%2Fli%3E%3Cli%3ERemove+chicken+from+pan+and+keep+warm.%3C%2Fli%3E%3Cli%3EIn+same+saut%26eacute%3B+pan%2C+stir+fry+onions%2C+green+pepper+and+garlic+for+approximately+5+minutes%2C+until+onion+is+golden+brown.%26nbsp%3B%3C%2Fli%3E%3Cli%3EAdd+white+pepper%2C+curry+powder%2C+tomato+puree%2C+chopped+parsley%2C+thyme+and+chicken.%3C%2Fli%3E%3Cli%3ESimmer+chicken+in+tomato+gravy+for+approximately+10+minutes%2C+until+chicken+is+done.%3C%2Fli%3E%3Cli%3EDivide+into+4+portions.%3C%2Fli%3E%3C%2Fol%3E%3Cp%3ENutrition+Note%3A+1+3.5oz+chicken+breast+and+1%2F2+cup+tomato+gravy+with+vegetables+over+the+top+is+one+serving.%3C%2Fp%3E		290	50	6	1	0	65	530	31	7	12	31	1	0
9	10/25/2008 05:44	4/19/2012 05:38			Strawberry Salad with Crab and Red Onion			0	30 minutes	6	"Seafood is as fresh as it gets along the New England coastline and whenever we return to visit family, seafood is always on the menu. One summer we took the boys to a strawberry field and came back with over 15 pints of berries that we picked ourselves.We had fresh crab at the house from a boat excursion we took the day before. Berries and seafood go well together in salads, so putting the two ingredients together has since become a family favorite.&nbsp; "	%3Cp%3E%3Cstrong%3ESalad+Dressing%3C%2Fstrong%3E%3C%2Fp%3E%3Cul%3E%3Cli%3E3+tbsp+%2845+mL%29+raspberry+vinegar%3C%2Fli%3E%3Cli%3E3+tbsp+%2845+mL%29+water%3C%2Fli%3E%3Cli%3E1+tbsp+%2815+mL%29+honey%3C%2Fli%3E%3Cli%3E2+tbsp+%2830+mL%29+canola+oil%3C%2Fli%3E%3Cli%3E1%2F4+tsp+%282+mL%29+salt%3C%2Fli%3E%3Cli%3E1%2F4+tsp+%282+mL%29+pepper%3C%2Fli%3E%3C%2Ful%3E%3Cp%3E%3Cstrong%3ESalad+Mixings%3C%2Fstrong%3E%3C%2Fp%3E%3Cul%3E%3Cli%3E3+cups+%28750+mL%29+strawberries%2C+quartered%3C%2Fli%3E%3Cli%3E10+oz+%28280+g%29+spring+mix+blend+salad+greens%3C%2Fli%3E%3Cli%3E2+tsp+%2810+mL%29+pine+nuts%3C%2Fli%3E%3Cli%3E6+oz+%28170+g%29+can+lump+crab+meat%3C%2Fli%3E%3Cli%3E1+small+red+onion%2C+sliced+thin+and+ringed%3C%2Fli%3E%3C%2Ful%3E	%3Col%3E%3Cli%3ECombine+first+6+ingredients+and+stir+well+with+a+whisk.%3C%2Fli%3E%3Cli%3ECombine+strawberries+and+green.%3C%2Fli%3E%3Cli%3EAdd+the+salad+dressing%3B+toss+to+coat.%3C%2Fli%3E%3Cli%3ESprinkle+with+pine+nuts.%3C%2Fli%3E%3Cli%3ETop+with+crab+and+red+onion+rings.%3C%2Fli%3E%3Cli%3EServe.%3C%2Fli%3E%3C%2Fol%3E%3Cp%3ENutrition+Note%3A%26nbsp%3B+1+1%2F2+cups+salad+mixture+and+1+1%2F2+tablespoons+per+serving.%3C%2Fp%3E		120	50	6	0	0	25	210	12	3	8	7	1	0
288	1/1/2009 01:26	4/19/2012 05:41			Cheesy Gorgonzola Apple Stuffed Mushrooms			0	35 minutes	16	"While working at the Breakers Hotel in Palm Beach I worked in the off-premise catering department.&nbsp; I would cook on yachts, large estate homes, and at premier private clubs such as the Donald Trump&rsquo;s club Mara Largo and the Everglades Club.&nbsp; As you can imagine the food was amazing.&nbsp; One of my personal favorite appetizers and a guest favorite as well, was the Cheesy Gorgonzola Apple Stuffed Mushrooms. They are easy and inexpensive to make, but packed with a ton a flavor.&nbsp; I love the sharpness of the cheese and the crunch and sweetness from the apples. These also can be made in advance and baked or grilled just before you party begins.&nbsp; "	%3Cul%3E%3Cli%3E16+large+fresh+mushrooms+%28reserve+1%2F3+of+stems%29%3C%2Fli%3E%3Cli%3Ecooking+spray%3C%2Fli%3E%3Cli%3E1%26frac12%3B+tbsp+%2822+mL%29+finley+chopped+celery%3C%2Fli%3E%3Cli%3E%26frac14%3B+cup+%28125+mL%29peeled+and+minced+Granny+Smith+apple%3C%2Fli%3E%3Cli%3E1+tbsp+%2815+mL%29+breadcrumbs%3C%2Fli%3E%3Cli%3E%26frac12%3B+tbsp+%287+mL%29+chopped+fresh+chives%3C%2Fli%3E%3Cli%3E1+tsp+%285+mL%29+finely+chopped+walnuts+%26mdash%3B+toasted%3C%2Fli%3E%3Cli%3E1+tbsp+%2815+mL%29+crumbled+gorgonzola+cheese%3C%2Fli%3E%3Cli%3E1+tsp+%285+mL%29+lemon+juice%3C%2Fli%3E%3Cli%3ESalt+and+pepper+%26mdash%3B+to+taste%3C%2Fli%3E%3C%2Ful%3E	%3Col%3E%3Cli%3EClean+mushrooms+with+damp+paper+towels.%3C%2Fli%3E%3Cli%3ERemove+stems.%3C%2Fli%3E%3Cli%3EReserve+1%2F3+of+the+mushroom+stems+and+chop+fine.%3C%2Fli%3E%3Cli%3ECoat+a+small+skillet+with+cooking+spray%3B+place+over+medium-high+heat+until+hot.%3C%2Fli%3E%3Cli%3EAdd+1%2F3+cup+reserved+chopped+mushroom+stems+and+celery%3B+saute+2+minutes+or+until+tender.%3C%2Fli%3E%3Cli%3ECombine+celery+mix%2C+apple+and+next+6+ingredients+in+a+small+bowl%3B+stir+well.%3C%2Fli%3E%3Cli%3ESpoon+1-1%2F2+teaspoons+apple+mix+into+each+reserved+mushroom+cap.%3C%2Fli%3E%3Cli%3EPlace+mushrooms+onto+a+large+pan.+Bake+at+350F+for+15+minutes.%3C%2Fli%3E%3C%2Fol%3E%3Cp%3E%3Cspan+style%3D%22font-size%3A+small%3B+font-family%3A+Calibri%3B%22%3ENOTES%3A+All+ingredients+need+to+be+minced+%28chopped+fine%29+in+order+to+be+stuffed+into+the+mushrooms+evenly.%3C%2Fspan%3E%3C%2Fp%3E		10	5	0	0	0	0	15	1	0	1	1	1	0
5	3/3/2009 01:21	4/20/2012 03:08			Roasted Garlic Basmati Rice			0	1 hour	6	"Basmati rice is a long-grain rice grown in India. The fragrant kernels grow even longer when they are cooked and are less sticky than regular rice. You can find white or brown basmati rice at your market. The brown rice is a whole grain and will have more fiber than white rice. We also like the flavor of the brown rice better. Remember if you have had weight loss surgery, cook&nbsp; 1 cup (250 mL) of rice with 3 cups (750 mL) of water or broth to help cook out all the starch. It takes longer to cook but will help keep it from expanding in your pouch."	%3Cul%3E%3Cli%3E1+tsp+%285+mL%29+olive+oil%3C%2Fli%3E%3Cli%3E2+cloves+garlic%2C+chopped%3C%2Fli%3E%3Cli%3E1+tsp+%285+mL%29+curry+powder%3C%2Fli%3E%3Cli%3E1+cup+%28250+mL%29+dry+brown+basmati+rice%3C%2Fli%3E%3Cli%3E2+cups+%28500+mL%29+low+sodium+chicken+broth%3C%2Fli%3E%3C%2Ful%3E	%3Col%3E%3Cli%3EHeat+olive+oil+over+medium+heat.%3C%2Fli%3E%3Cli%3EAdd+garlic+and+roast+in+oil+until+brown.%3C%2Fli%3E%3Cli%3ENext+add+rice+and+curry+and+stir+for+1+minute.%3C%2Fli%3E%3Cli%3EPour+broth+over+rice+and+bring+to+a+light+simmer.%3C%2Fli%3E%3Cli%3ECover+and+simmer+for+30+minutes+or+until+basmati+rice+is+tender.%3C%2Fli%3E%3C%2Fol%3E		120	15	2	0	0	0	25	24	2	1	4	1	0
4	3/30/2009 08:09	4/20/2012 03:09			Tomato Basil Yellow Rice			0	45 minutes	8	"Packaged rice mixes are easy to prepare but with a few more ingredients you can make them your own. Cooking your rice in low sodium chicken broth instead of water adds more flavor. The pine nuts add a crunch and the tomatoes, green onions, and basil add color. Remember we eat with our eyes first."	%3Cul%3E%3Cli%3E5+oz+%28145+g%29+Spanish+rice+mix+%28yellow+rice+small+bag%29%3C%2Fli%3E%3Cli%3E1+tbsp+%2815+mL%29+olive+oil%3C%2Fli%3E%3Cli%3E%26frac12%3B+cup+%28125+mL%29+chopped+green+onions%3C%2Fli%3E%3Cli%3E2+cloves+garlic%2C+chopped%3C%2Fli%3E%3Cli%3E%26frac14%3B+cup+%2850+mL%29+pine+nuts+%28pignolia%29%3C%2Fli%3E%3Cli%3E1+medium+tomato%2C+diced%3C%2Fli%3E%3Cli%3E2+cups+%28250+mL%29low+sodium+chicken+broth%3C%2Fli%3E%3Cli%3E%26frac12%3B+cup+%28125+mL%29+fresh+basil%2C+stems+removed%2C+chopped%3C%2Fli%3E%3C%2Ful%3E	%3Cp%3E%26nbsp%3B%3C%2Fp%3E%3Col%3E%3Cli%3EIn+medium+sauce+pan+heat+olive+oil.%3C%2Fli%3E%3Cli%3EAdd+garlic%2C+scallions%2C+pine+nuts%2C+and+tomatoes+and+saut%26eacute%3B+for+2+minutes.%3C%2Fli%3E%3Cli%3EAdd+yellow+rice+mix+and+stir+for+1+minute.%3C%2Fli%3E%3Cli%3EAdd+chicken+stock+and+whole+fresh+basil+leaves+and+bring+to+a+simmer.%3C%2Fli%3E%3Cli%3ETurn+heat+down+to+medium+low+heat%2C+cover%2C+and+simmer+25+minutes.%3C%2Fli%3E%3C%2Fol%3E		120	45	5	1	0	0	250	16	1	2	4	1	0
6	12/11/2009 11:38	4/20/2012 02:49			Poblano Mexi Chicken Stew			0	1 hour	8	"A stew is basically a combination of two or more foods simmered in a liquid. While this stew has more than two ingredients, it is still easy to make. The dry spices are added to the saut&eacute;ed vegetables because the oil used to saut&eacute; will help rehydrate the spices. This brings out more flavor than if you add the spices with the liquid ingredients."	%3Cul%3E%3Cli%3E1+tsp+%285+mL%29+canola+oil%3C%2Fli%3E%3Cli%3E2+tsp+%2810+mL%29+chili+powder%3C%2Fli%3E%3Cli%3E1+tsp+%285+mL%29+cumin%3C%2Fli%3E%3Cli%3E1+tsp+%285+mL%29+salt%3C%2Fli%3E%3Cli%3E%26frac12%3B+tsp+%282+mL%29+black+pepper%3C%2Fli%3E%3Cli%3E%26frac12%3B+cup+%28125+mL%29+chopped+celery%3C%2Fli%3E%3Cli%3E%26frac12%3B+cup+%28125+mL%29+chopped+carrots%3C%2Fli%3E%3Cli%3E1+cup+%28250+mL%29+chopped+onions%3C%2Fli%3E%3Cli%3E1+poblano+pepper%2C+chopped+fine%3C%2Fli%3E%3Cli%3E3+cloves+garlic%2C+chopped+fine%3C%2Fli%3E%3Cli%3E2+tbsp+%2830+mL%29+flour%3C%2Fli%3E%3Cli%3E5+tomatoes%2C+cut+in+half%2C+seeds+removed%2C+and+chopped%3C%2Fli%3E%3Cli%3E1+cup+%28250+mL%29+frozen+corn%3C%2Fli%3E%3Cli%3EOne+14+oz+%28398+mL%29+can+no+salt+added+black+beans%2C+drained%3C%2Fli%3E%3Cli%3E1+pound+%281%2F2+kg%29+boneless+skinless+chicken+breasts%2C+cut+into+%26frac14%3B+inch+cubes%3C%2Fli%3E%3Cli%3E8+cups+%282+L%29+low+sodium+chicken+broth%3C%2Fli%3E%3Cli%3E%26frac14%3B+cup+%2850+mL%29+chopped+fresh+cilantro%3C%2Fli%3E%3C%2Ful%3E	%3Col%3E%3Cli%3EIn+a+large+stock+pot+over+medium+high+heat+add+oil.%3C%2Fli%3E%3Cli%3EWhen+oil+is+hot+add+celery%2C+carrots%2C+onions%2C+poblano+pepper%2C+and+garlic+and+saut%26eacute%3B+for+5+minutes.%3C%2Fli%3E%3Cli%3EAdd+the+chili+powder%2C+cumin%2C+salt%2C+pepper%2C+and+flour+and+saut%26eacute%3B+an+additional+3+minutes.%3C%2Fli%3E%3Cli%3EAdd+tomatoes%2C+corn%2C+black+beans%2C+chicken%2C+and+chicken+broth+and+bring+to+a+simmer.%3C%2Fli%3E%3Cli%3ETurn+heat+to+medium+low+and+simmer+for+an+additional+45+minutes+remembering+to+stir+occasionally+to+keep+the+food+from+sticking+to+the+bottom+of+the+pot.%3C%2Fli%3E%3Cli%3ERemove+from+heat%3B+add+fresh+cilantro+and+serve.%3C%2Fli%3E%3C%2Fol%3E		200	35	4	1	0	30	550	23	5	5	21	1	0
592	2/17/2010 09:08	4/20/2012 03:06			Smooth Albacore Tuna Spread			0	30 minutes	6	"While this recipe is great for the early stages of the diet progression for weight loss surgery, it will work for a lifetime. Putting it in the&nbsp; food processor turns it into a dip. You can serve it to guests with fresh veggies as an appetizer. If you skip the food processor and just mix it in a bowl, you have a tasty tuna salad for a sandwich or on top of bed of lettuce."	%3Cul%3E%3Cli%3E7+oz+%28200+g%29+white+albacore+tuna+in+a+pouch%3C%2Fli%3E%3Cli%3E2+tbsp+%2830+mL%29+chopped+fresh+dill+weed%3C%2Fli%3E%3Cli%3E1+tsp+%285+mL%29+hot+sauce%3C%2Fli%3E%3Cli%3E1+tsp+%28+5+mL%29+garlic%2C+minced%3C%2Fli%3E%3Cli%3E1+tbsp+%2815+mL%29+fresh+lemon+juice%3C%2Fli%3E%3Cli%3E%26frac14%3B+cup+%2850+mL%29+light+sour+cream%3C%2Fli%3E%3Cli%3E%26frac14%3B+cup+%2850+mL%29+light+mayonnaise%3C%2Fli%3E%3C%2Ful%3E	%3Col%3E%3Cli%3EPlace+the+tuna%2C+dill%2C+hot+sauce%2C+garlic%2C+and+lemon+juice+in+a+3-cup+foodprocessor.%3C%2Fli%3E%3Cli%3EPuree+for+20+seconds.+Using+a+rubber+spatula%2C+scrape+down+the+sides+of+the+bowl.%3C%2Fli%3E%3Cli%3EAdd+sour+cream+and+mayonnaise+and+puree+for+another+30+seconds.%3C%2Fli%3E%3C%2Fol%3E		90	45	5	1	0	25	190	2	0	1	8	1	0
645	3/1/2010 04:00	11/10/2012 07:06	Black Bean Wrap	Black Bean Wrap	Black Bean Wrap			0	5 minutes	1	"Only four ingredients but lots of fiber packed into this wrap with the beans and whole wheat tortilla. This is one of those recipes that you can throw together for one person in less than five minutes. And let's face it, when you're in a big hurry or just feeding yourself, this is exactly the kind of recipe you need. Add a small salad using the packaged mixed greens and you have your meal in no time."	%3Cul%3E%3Cli%3E%26frac12%3B+cup+%28125+mL%29+canned+no+salt+added+black+beans%2C+drained%3C%2Fli%3E%3Cli%3E1+tbsp+%2815+mL%29+light+sour+cream%3C%2Fli%3E%3Cli%3E2+tbsp+%2830+mL%29+salsa%3C%2Fli%3E%3Cli%3E1+small+whole+wheat+tortilla%3C%2Fli%3E%3C%2Ful%3E	%3Col%3E%3Cli%3EIn+a+small+bowl+mix+black+beans%2C+light+sour+cream%2C+and+salsa%2C+cover+with+plastic+wrap+and+microwave+for+2+minutes+or+until+mixture+is+heated.%3C%2Fli%3E%3Cli%3ENext+spread+mixture+on+tortilla+and+fold+in+half.%3C%2Fli%3E%3Cli%3EServe.%3C%2Fli%3E%3C%2Fol%3E		240	40	5	1	0	5	550	42	8	4	10	1	0
646	3/1/2010 08:22	4/20/2012 03:31	One Pot Beef Stew		One Pot Beef Stew	http://www.orberacoach.ca/administrator/components/com_recipe/images/646.jpg		0	2 hours	6	"This hearty stew with plenty of vegetables and beef will hit the spot on a cold night. The beef will become tender from the long cooking time in wine and tomatoes. If you have a Dutch oven, this is a perfect recipe for that pot. Cast iron Dutch ovens cook food evenly because the tight lid keeps in the moisture. Stews taste better made in a Dutch oven!"	%3Cul%3E%3Cli%3E1+%26frac12%3B+pounds+%283%2F4+kg%29+lean+beef%2C+cut+into+cubes%3C%2Fli%3E%3Cli%3E3+cups+%28750+mL%29+chopped+onion%3C%2Fli%3E%3Cli%3E2+cups+%28500+mL%29+sliced+carrots%3C%2Fli%3E%3Cli%3E1+cup+%28250+mL%29+red+bell+pepper%2C+cut+into+1%2F2+inch+strips%3C%2Fli%3E%3Cli%3E8+oz+%28225+g%29+fresh+mushrooms%2C+cleaned%3C%2Fli%3E%3Cli%3E2+medium+tomatoes%2C+chopped%3C%2Fli%3E%3Cli%3E%26frac12%3B+cup+%28125+mL%29+red+wine%3C%2Fli%3E%3Cli%3E1+each+bay+leaf%3C%2Fli%3E%3Cli%3E%26frac14%3B+cup+%2850+mL%29+chopped+fresh+parsley%3C%2Fli%3E%3Cli%3E%26frac14%3B+tsp+%281+mL%29+hot+red+pepper+flakes%3C%2Fli%3E%3Cli%3E%26frac12%3B+tsp+%282+mL%29+salt%3C%2Fli%3E%3Cli%3E%26frac14%3B+tsp+%281+mL%29+black+pepper%3C%2Fli%3E%3Cli%3E%26frac12%3B+cup+%28125+mL%29+frozen+peas%2C+thawed%3C%2Fli%3E%3C%2Ful%3E	%3Col%3E%3Cli%3EIn+a+large+heavy+pot%2C+combine+beef%2C+onion%2C+carrots%2C+red+pepper%2C+mushrooms%2C+tomatoes%2C+wine%2C+bay+leaf%2C+parsley+and+red+pepper+flakes.%3C%2Fli%3E%3Cli%3ECover+and+simmer+over+low+heat+for+1+1%2F2+hours%2C+stirring+occasionally.%3C%2Fli%3E%3Cli%3E%26nbsp%3BStir+in+salt%2C+and+black+pepper.%3C%2Fli%3E%3Cli%3ECover+and+cook+10+minutes%2C+stirring+occasionally.%3C%2Fli%3E%3Cli%3EAdd+peas+and+stir+to+mix.+Serve+hot.%3C%2Fli%3E%3C%2Fol%3E		260	70	8	3	0	65	300	18	4	9	27	1	0
647	3/1/2010 09:10	4/20/2012 03:36	Cool Salmon Ranch Salad		Cool Salmon Ranch Salad			0	15 minutes	2	I love salmon and this is one of my go-to salads for lunch. We've used canned salmon in this recipe or you can use fresh cooked. When I cook salmon I usually make some extra so I can use it in this salad. Add some whole wheat crackers and you've got lunch made. Vicki	%3Cul%3E%3Cli%3E1+cup+%28250+mL%29+chopped+romaine+lettuce%3C%2Fli%3E%3Cli%3E%26frac12%3B+cup+%28125+mL%29+chopped+onion%3C%2Fli%3E%3Cli%3E%26frac12%3B+cup+%28125+mL%29+chopped+tomato%3C%2Fli%3E%3Cli%3E%26frac12%3B+cup+%28125+mL%29+peeled+and+chopped+cucumber%3C%2Fli%3E%3Cli%3E%26frac12%3B+cup+%28125+mL%29+chopped+red+bell+pepper%3C%2Fli%3E%3Cli%3E1+cup+%28250+mL%29+peeled+and+chopped+tart+apple%3C%2Fli%3E%3Cli%3E1+tsp+chopped%26nbsp%3B+fresh+cilantro%3C%2Fli%3E%3Cli%3E8+oz+%28225g%29+low+sodium+canned+salmon%2C+drained%3C%2Fli%3E%3Cli%3E4+tbsp+%2860+mL%29+low+fat+ranch+salad+dressing%3C%2Fli%3E%3Cli%3ESalt+and+pepper%2C+to+taste%3C%2Fli%3E%3C%2Ful%3E	%3Col%3E%3Cli%3EMix+chopped+vegetables+and+apple+together+in+mixing+bowl.%3C%2Fli%3E%3Cli%3ECombine+remaining+ingredients.%3C%2Fli%3E%3Cli%3EPour+over+vegetables+and+apple.%3C%2Fli%3E%3Cli%3EToss.%3C%2Fli%3E%3Cli%3EServe.%3C%2Fli%3E%3C%2Fol%3E		300	100	11	2	0	65	430	26	5	14	25	1	0
